Time (Days) ,Brightness (solar luminosities) ,Brightness uncertainty (solar luminosities)
 3139.50426 ,                    10.92905792 ,1.3E-4
 3139.52976 ,                    10.92898539 ,1.2E-4
 3139.55527 ,                    10.92919352 ,1.3E-4
 3139.58078 ,                    10.92940559 ,1.2E-4
 3139.60628 ,                    10.92907441 ,1.3E-4
 3139.63179 ,                    10.92920712 ,1.3E-4
 3139.65730 ,                    10.92894589 ,1.3E-4
 3139.68280 ,                    10.92920689 ,1.2E-4
 3139.70831 ,                    10.92915462 ,1.4E-4
 3139.73382 ,                    10.92908667 ,1.4E-4
 3139.75932 ,                    10.92880179 ,1.4E-4
 3139.78483 ,                    10.92929981 ,1.3E-4
 3139.81034 ,                    10.92913010 ,1.3E-4
 3139.83584 ,                    10.92928725 ,1.4E-4
 3139.86135 ,                    10.92940204 ,1.2E-4
 3139.88686 ,                    10.92928192 ,1.2E-4
 3139.91236 ,                    10.92922308 ,1.4E-4
 3139.93787 ,                    10.92921936 ,1.2E-4
 3139.96338 ,                    10.92904557 ,1.4E-4
 3139.98888 ,                    10.92906311 ,1.4E-4
 3140.01439 ,                    10.92919606 ,1.4E-4
 3140.03990 ,                    10.92921039 ,1.2E-4
 3140.06540 ,                    10.92909315 ,1.2E-4
 3140.09091 ,                    10.92922131 ,1.3E-4
 3140.11642 ,                    10.92915664 ,1.4E-4
 3140.14192 ,                    10.92907907 ,1.4E-4
 3140.16743 ,                    10.92897974 ,1.4E-4
 3140.19294 ,                    10.92909172 ,1.2E-4
 3140.21844 ,                    10.92914198 ,1.3E-4
 3140.24395 ,                    10.92894381 ,1.2E-4
 3140.26946 ,                    10.92891143 ,1.3E-4
 3140.29496 ,                    10.92901493 ,1.4E-4
 3140.32047 ,                    10.92909396 ,1.4E-4
 3149.79770 ,                    10.92911438 ,1.2E-4
 3374.78325 ,                    10.92924501 ,1.3E-4
 3599.76880 ,                    10.92931453 ,1.3E-4
 3795.96301 ,                    10.92902954 ,1.2E-4
 3795.98851 ,                    10.92895297 ,1.2E-4
 3796.01402 ,                    10.92912240 ,1.4E-4
 3796.03953 ,                    10.92895476 ,1.2E-4
 3796.06503 ,                    10.92887813 ,1.2E-4
 3796.09054 ,                    10.92894172 ,1.2E-4
 3796.11605 ,                    10.92885962 ,1.4E-4
 3796.14155 ,                    10.92893291 ,1.2E-4
 3796.16706 ,                    10.92887487 ,1.3E-4
 3796.19257 ,                    10.92905727 ,1.4E-4
 3796.21807 ,                    10.92881396 ,1.4E-4
 3796.24358 ,                    10.92902725 ,1.3E-4
 3796.26909 ,                    10.92887638 ,1.4E-4
 3796.29459 ,                    10.92899881 ,1.3E-4
 3796.32010 ,                    10.92908123 ,1.3E-4
 3796.34561 ,                    10.92892426 ,1.2E-4
 3796.37111 ,                    10.92888236 ,1.2E-4
 3796.39662 ,                    10.92876470 ,1.3E-4
 3796.42213 ,                    10.92893025 ,1.2E-4
 3796.44763 ,                    10.92903370 ,1.4E-4
 3796.47314 ,                    10.92903458 ,1.4E-4
 3796.49865 ,                    10.92898895 ,1.2E-4
 3796.52415 ,                    10.92868278 ,1.4E-4
 3796.54966 ,                    10.92896785 ,1.3E-4
 3796.57517 ,                    10.92905728 ,1.3E-4
 3796.60067 ,                    10.92888048 ,1.4E-4
 3796.62618 ,                    10.92894849 ,1.3E-4
 3796.65169 ,                    10.92885413 ,1.2E-4
 3796.67719 ,                    10.92880673 ,1.3E-4
 3796.70270 ,                    10.92898926 ,1.5E-4
 3796.72821 ,                    10.92907634 ,1.2E-4
 3796.75371 ,                    10.92902833 ,1.3E-4
 3796.77922 ,                    10.92891008 ,1.3E-4
 3796.80473 ,                    10.92877029 ,1.3E-4
 3796.83023 ,                    10.92888996 ,1.4E-4
 3796.85574 ,                    10.92911337 ,1.4E-4
 3796.88125 ,                    10.92892631 ,1.3E-4
 3796.90675 ,                    10.92888767 ,1.4E-4
 3796.93226 ,                    10.92912533 ,1.3E-4
 3796.95777 ,                    10.92879417 ,1.4E-4
 3796.98327 ,                    10.92885770 ,1.2E-4
 3797.00878 ,                    10.92899410 ,1.4E-4
 3797.03429 ,                    10.92912442 ,1.4E-4
 3797.05979 ,                    10.92905057 ,1.3E-4
 3797.08530 ,                    10.92877856 ,1.4E-4
 3797.11081 ,                    10.92888358 ,1.4E-4
 3797.13631 ,                    10.92878512 ,1.4E-4
 3797.16182 ,                    10.92906824 ,1.4E-4
 3797.18733 ,                    10.92885548 ,1.2E-4
 3797.21283 ,                    10.92899414 ,1.3E-4
 3797.23834 ,                    10.92905755 ,1.4E-4
 3797.26385 ,                    10.92894836 ,1.3E-4
 3797.28936 ,                    10.92887768 ,1.2E-4
 3797.31486 ,                    10.92890323 ,1.2E-4
 3797.34037 ,                    10.92893668 ,1.4E-4
 3797.36588 ,                    10.92912884 ,1.3E-4
 3797.39138 ,                    10.92891136 ,1.2E-4
 3797.41689 ,                    10.92884717 ,1.2E-4
 3797.44240 ,                    10.92900893 ,1.4E-4
 3797.46790 ,                    10.92896682 ,1.4E-4
 3797.49341 ,                    10.92909506 ,1.4E-4
 3797.51892 ,                    10.92892126 ,1.4E-4
 3797.54442 ,                    10.92899099 ,1.2E-4
 3797.56993 ,                    10.92881811 ,1.3E-4
 3797.59544 ,                    10.92912208 ,1.3E-4
 3797.62094 ,                    10.92903992 ,1.4E-4
 3797.64645 ,                    10.92908043 ,1.4E-4
 3797.67196 ,                    10.92880939 ,1.3E-4
 3797.69746 ,                    10.92900508 ,1.2E-4
 3797.72297 ,                    10.92907122 ,1.2E-4
 3797.74848 ,                    10.92905095 ,1.3E-4
 3797.77398 ,                    10.92902548 ,1.2E-4
 3797.79949 ,                    10.92880064 ,1.2E-4
 3797.82500 ,                    10.92886863 ,1.3E-4
 3797.85050 ,                    10.92893482 ,1.2E-4
 3797.87601 ,                    10.92900483 ,1.4E-4
 3797.90152 ,                    10.92904997 ,1.4E-4
 3797.92702 ,                    10.92900806 ,1.3E-4
 3797.95253 ,                    10.92908927 ,1.4E-4
 3797.97804 ,                    10.92893301 ,1.4E-4
 3798.00354 ,                    10.92904490 ,1.3E-4
 3798.02905 ,                    10.92892941 ,1.3E-4
 3798.05456 ,                    10.92900882 ,1.3E-4
 3798.08006 ,                    10.92897062 ,1.2E-4
 3798.10557 ,                    10.92903397 ,1.3E-4
 3798.13108 ,                    10.92918531 ,1.2E-4
 3798.15658 ,                    10.92921931 ,1.3E-4
 3798.18209 ,                    10.92893345 ,1.2E-4
 3798.20760 ,                    10.92916503 ,1.4E-4
 3798.23310 ,                    10.92904705 ,1.2E-4
 3798.25861 ,                    10.92902942 ,1.2E-4
 3798.28412 ,                    10.92908541 ,1.4E-4
 3798.30962 ,                    10.92885390 ,1.2E-4
 3798.33513 ,                    10.92907573 ,1.4E-4
 3798.36064 ,                    10.92898239 ,1.3E-4
 3798.38614 ,                    10.92910240 ,1.4E-4
 3798.41165 ,                    10.92911928 ,1.2E-4
 3798.43716 ,                    10.92905099 ,1.2E-4
 3798.46266 ,                    10.92894699 ,1.4E-4
 3798.48817 ,                    10.92898556 ,1.4E-4
 3798.51368 ,                    10.92914618 ,1.2E-4
 3798.53918 ,                    10.92924967 ,1.4E-4
 3798.56469 ,                    10.92888331 ,1.3E-4
 3798.59020 ,                    10.92863751 ,1.3E-4
 3798.61570 ,                    10.92908829 ,1.4E-4
 3798.64121 ,                    10.92938806 ,1.3E-4
 3798.66672 ,                    10.92891470 ,1.2E-4
 3798.69222 ,                    10.92898278 ,1.4E-4
 3798.71773 ,                    10.92922131 ,1.4E-4
 3798.74324 ,                    10.92906415 ,1.4E-4
 3798.76875 ,                    10.92906239 ,1.4E-4
 3798.79425 ,                    10.92902028 ,1.4E-4
 3798.81976 ,                    10.92922661 ,1.3E-4
 3798.84527 ,                    10.92911421 ,1.2E-4
 3798.87077 ,                    10.92887686 ,1.2E-4
 3798.89628 ,                    10.92915657 ,1.4E-4
 3798.92179 ,                    10.92918920 ,1.4E-4
 3798.94729 ,                    10.92918302 ,1.4E-4
 3798.97280 ,                    10.92893540 ,1.3E-4
 3798.99831 ,                    10.92912009 ,1.3E-4
 3824.75435 ,                    10.92928112 ,1.4E-4
 4049.73990 ,                    10.92917421 ,1.4E-4
 4274.72545 ,                    10.92935970 ,1.4E-4
 4497.03646 ,                    10.92874848 ,1.2E-4
 4497.06197 ,                    10.92913037 ,1.4E-4
 4497.08747 ,                    10.92898993 ,1.3E-4
 4497.11298 ,                    10.92894915 ,1.3E-4
 4497.13849 ,                    10.92893689 ,1.2E-4
 4497.16399 ,                    10.92895424 ,1.2E-4
 4497.18950 ,                    10.92893365 ,1.2E-4
 4497.21501 ,                    10.92913465 ,1.4E-4
 4497.24051 ,                    10.92900831 ,1.4E-4
 4497.26602 ,                    10.92921226 ,1.4E-4
 4497.29153 ,                    10.92886108 ,1.3E-4
 4497.31703 ,                    10.92917751 ,1.3E-4
 4497.34254 ,                    10.92910633 ,1.2E-4
 4497.36805 ,                    10.92912833 ,1.4E-4
 4497.39355 ,                    10.92902072 ,1.4E-4
 4497.41906 ,                    10.92894063 ,1.4E-4
 4497.44457 ,                    10.92893110 ,1.4E-4
 4497.47007 ,                    10.92918287 ,1.4E-4
 4497.49558 ,                    10.92910274 ,1.3E-4
 4497.52109 ,                    10.92907702 ,1.2E-4
 4497.54659 ,                    10.92906258 ,1.4E-4
 4497.57210 ,                    10.92900742 ,1.4E-4
 4497.59761 ,                    10.92924042 ,1.4E-4
 4497.62311 ,                    10.92906792 ,1.2E-4
 4497.64862 ,                    10.92887330 ,1.4E-4
 4497.67413 ,                    10.92904718 ,1.3E-4
 4497.69963 ,                    10.92883640 ,1.3E-4
 4497.72514 ,                    10.92883273 ,1.3E-4
 4497.75065 ,                    10.92902919 ,1.4E-4
 4497.77615 ,                    10.92909208 ,1.4E-4
 4497.80166 ,                    10.92908275 ,1.4E-4
 4497.82717 ,                    10.92895420 ,1.3E-4
 4497.85267 ,                    10.92895576 ,1.3E-4
 4497.87818 ,                    10.92900878 ,1.2E-4
 4497.90369 ,                    10.92904341 ,1.4E-4
 4497.92920 ,                    10.92899695 ,1.2E-4
 4497.95470 ,                    10.92903578 ,1.4E-4
 4497.98021 ,                    10.92907392 ,1.3E-4
 4498.00572 ,                    10.92900378 ,1.3E-4
 4498.03122 ,                    10.92890623 ,1.4E-4
 4498.05673 ,                    10.92915976 ,1.3E-4
 4498.08224 ,                    10.92901985 ,1.4E-4
 4498.10774 ,                    10.92903875 ,1.4E-4
 4498.13325 ,                    10.92913582 ,1.4E-4
 4498.15876 ,                    10.92907867 ,1.3E-4
 4498.18426 ,                    10.92896310 ,1.4E-4
 4498.20977 ,                    10.92893386 ,1.4E-4
 4498.23528 ,                    10.92904399 ,1.3E-4
 4498.26078 ,                    10.92909317 ,1.3E-4
 4498.28629 ,                    10.92924025 ,1.4E-4
 4498.31180 ,                    10.92903302 ,1.4E-4
 4498.33730 ,                    10.92912440 ,1.2E-4
 4498.36281 ,                    10.92910348 ,1.2E-4
 4498.38832 ,                    10.92899357 ,1.3E-4
 4498.41382 ,                    10.92898667 ,1.4E-4
 4498.43933 ,                    10.92914077 ,1.3E-4
 4498.46484 ,                    10.92889106 ,1.3E-4
 4498.49034 ,                    10.92885426 ,1.2E-4
 4498.51585 ,                    10.92899875 ,1.3E-4
 4498.54136 ,                    10.92895804 ,1.3E-4
 4498.56686 ,                    10.92892030 ,1.4E-4
 4498.59237 ,                    10.92880782 ,1.2E-4
 4498.61788 ,                    10.92886577 ,1.3E-4
 4498.64338 ,                    10.92897016 ,1.3E-4
 4498.66889 ,                    10.92889343 ,1.4E-4
 4498.69440 ,                    10.92923454 ,1.3E-4
 4498.71990 ,                    10.92918878 ,1.4E-4
 4498.74541 ,                    10.92905543 ,1.3E-4
 4498.77092 ,                    10.92900482 ,1.2E-4
 4498.79642 ,                    10.92903689 ,1.2E-4
 4498.82193 ,                    10.92929716 ,1.2E-4
 4498.84744 ,                    10.92921388 ,1.4E-4
 4498.87294 ,                    10.92903272 ,1.3E-4
 4498.89845 ,                    10.92905389 ,1.3E-4
 4498.92396 ,                    10.92902370 ,1.4E-4
 4498.94946 ,                    10.92919758 ,1.2E-4
 4498.97497 ,                    10.92904755 ,1.2E-4
 4499.00048 ,                    10.92902792 ,1.3E-4
 4499.02598 ,                    10.92918290 ,1.3E-4
 4499.05149 ,                    10.92907467 ,1.4E-4
 4499.07700 ,                    10.92906313 ,1.3E-4
 4499.10250 ,                    10.92910159 ,1.3E-4
 4499.12801 ,                    10.92900528 ,1.2E-4
 4499.15352 ,                    10.92922503 ,1.2E-4
 4499.17902 ,                    10.92888564 ,1.3E-4
 4499.20453 ,                    10.92906102 ,1.4E-4
 4499.23004 ,                    10.92903674 ,1.2E-4
 4499.25554 ,                    10.92916615 ,1.4E-4
 4499.28105 ,                    10.92892672 ,1.3E-4
 4499.30656 ,                    10.92918299 ,1.3E-4
 4499.33206 ,                    10.92901833 ,1.4E-4
 4499.35757 ,                    10.92901702 ,1.2E-4
 4499.38308 ,                    10.92909949 ,1.4E-4
 4499.40859 ,                    10.92906216 ,1.3E-4
 4499.43409 ,                    10.92894179 ,1.4E-4
 4499.45960 ,                    10.92913146 ,1.4E-4
 4499.48511 ,                    10.92903240 ,1.4E-4
 4499.51061 ,                    10.92885563 ,1.3E-4
 4499.53612 ,                    10.92910703 ,1.4E-4
 4499.56163 ,                    10.92921078 ,1.2E-4
 4499.58713 ,                    10.92898150 ,1.4E-4
 4499.61264 ,                    10.92905062 ,1.2E-4
 4499.63815 ,                    10.92903376 ,1.4E-4
 4499.66365 ,                    10.92915243 ,1.4E-4
 4499.68916 ,                    10.92911592 ,1.3E-4
 4499.71100 ,                    10.92917237 ,1.4E-4
 4499.71467 ,                    10.92909225 ,1.3E-4
 4499.74017 ,                    10.92919988 ,1.4E-4
 4499.76568 ,                    10.92923803 ,1.4E-4
 4499.79119 ,                    10.92910920 ,1.4E-4
 4499.81669 ,                    10.92902259 ,1.3E-4
 4499.84220 ,                    10.92893928 ,1.2E-4
 4499.86771 ,                    10.92895217 ,1.2E-4
 4499.89321 ,                    10.92897016 ,1.2E-4
 4499.91872 ,                    10.92894339 ,1.4E-4
 4499.94423 ,                    10.92910104 ,1.2E-4
 4499.96973 ,                    10.92914958 ,1.4E-4
 4499.99524 ,                    10.92896234 ,1.4E-4
 4500.02075 ,                    10.92899301 ,1.2E-4
 4500.04625 ,                    10.92911958 ,1.4E-4
 4500.07176 ,                    10.92931177 ,1.2E-4
 4724.69655 ,                    10.92914874 ,1.3E-4
 4949.68210 ,                    10.92904079 ,1.3E-4
 5174.66765 ,                    10.92913617 ,1.3E-4
 5399.65320 ,                    10.92984140 ,1.4E-4
 5624.63875 ,                    10.92898816 ,1.2E-4
 5822.09004 ,                    10.91904900 ,1.3E-4
 5822.10511 ,                    10.91896157 ,1.4E-4
 5822.12017 ,                    10.91889873 ,1.3E-4
 5822.13523 ,                    10.91883975 ,1.3E-4
 5822.15029 ,                    10.91873403 ,1.2E-4
 5822.16536 ,                    10.91859836 ,1.2E-4
 5822.18042 ,                    10.91880124 ,1.4E-4
 5822.19548 ,                    10.91874616 ,1.2E-4
 5822.21055 ,                    10.91868868 ,1.2E-4
 5822.22561 ,                    10.91873111 ,1.3E-4
 5822.24067 ,                    10.91862617 ,1.3E-4
 5822.25574 ,                    10.91831487 ,1.2E-4
 5822.27080 ,                    10.91857959 ,1.2E-4
 5822.28586 ,                    10.91859570 ,1.2E-4
 5822.30092 ,                    10.91860596 ,1.3E-4
 5822.31599 ,                    10.91840788 ,1.3E-4
 5822.33105 ,                    10.91852272 ,1.4E-4
 5822.34611 ,                    10.91839030 ,1.3E-4
 5822.36118 ,                    10.91820604 ,1.4E-4
 5822.37624 ,                    10.91838575 ,1.2E-4
 5822.39130 ,                    10.91840089 ,1.2E-4
 5822.40637 ,                    10.91803819 ,1.3E-4
 5822.42143 ,                    10.91829702 ,1.4E-4
 5822.43649 ,                    10.91827645 ,1.4E-4
 5822.45156 ,                    10.91826741 ,1.3E-4
 5822.46662 ,                    10.91812515 ,1.2E-4
 5822.48168 ,                    10.91833949 ,1.4E-4
 5822.49674 ,                    10.91818690 ,1.2E-4
 5822.51181 ,                    10.91811776 ,1.2E-4
 5822.52687 ,                    10.91837582 ,1.2E-4
 5822.54193 ,                    10.91814556 ,1.4E-4
 5822.55700 ,                    10.91843081 ,1.2E-4
 5822.57206 ,                    10.91819091 ,1.2E-4
 5822.58712 ,                    10.91835422 ,1.4E-4
 5822.60219 ,                    10.91855124 ,1.4E-4
 5822.61725 ,                    10.91835799 ,1.4E-4
 5822.63231 ,                    10.91842417 ,1.3E-4
 5822.64737 ,                    10.91817822 ,1.3E-4
 5822.66244 ,                    10.91847188 ,1.4E-4
 5822.67750 ,                    10.91816527 ,1.3E-4
 5822.69256 ,                    10.91853496 ,1.4E-4
 5822.70763 ,                    10.91843227 ,1.3E-4
 5822.72269 ,                    10.91848274 ,1.4E-4
 5822.73775 ,                    10.91840599 ,1.2E-4
 5822.75282 ,                    10.91841618 ,1.3E-4
 5822.76788 ,                    10.91851240 ,1.4E-4
 5822.78294 ,                    10.91845112 ,1.2E-4
 5822.79800 ,                    10.91854576 ,1.2E-4
 5822.81307 ,                    10.91861404 ,1.2E-4
 5822.82813 ,                    10.91882513 ,1.3E-4
 5822.84319 ,                    10.91867163 ,1.4E-4
 5822.85826 ,                    10.91871419 ,1.3E-4
 5822.87332 ,                    10.91893984 ,1.3E-4
 5822.88838 ,                    10.91863989 ,1.2E-4
 5822.90345 ,                    10.91908756 ,1.3E-4
 5822.91851 ,                    10.91890257 ,1.2E-4
 5822.93357 ,                    10.91896795 ,1.3E-4
 5822.94863 ,                    10.91892261 ,1.3E-4
 5822.96370 ,                    10.91892029 ,1.3E-4
 5822.97876 ,                    10.91926846 ,1.4E-4
 5822.99382 ,                    10.91912126 ,1.4E-4
 5823.00889 ,                    10.91921278 ,1.2E-4
 5823.02395 ,                    10.91955300 ,1.2E-4
 5823.03901 ,                    10.91944950 ,1.3E-4
 5823.05408 ,                    10.91964705 ,1.3E-4
 5823.06914 ,                    10.91959209 ,1.4E-4
 5823.08420 ,                    10.91962611 ,1.4E-4
 5823.09926 ,                    10.91984278 ,1.3E-4
 5823.11433 ,                    10.91996547 ,1.4E-4
 5823.12939 ,                    10.92021191 ,1.2E-4
 5823.14445 ,                    10.92032463 ,1.3E-4
 5823.15952 ,                    10.92023685 ,1.3E-4
 5823.17458 ,                    10.92042435 ,1.4E-4
 5823.18964 ,                    10.92065844 ,1.2E-4
 5823.20471 ,                    10.92061764 ,1.3E-4
 5823.21977 ,                    10.92093033 ,1.3E-4
 5823.23483 ,                    10.92093597 ,1.3E-4
 5823.24989 ,                    10.92128733 ,1.2E-4
 5823.26496 ,                    10.92156196 ,1.2E-4
 5823.28002 ,                    10.92143999 ,1.3E-4
 5849.62430 ,                    10.92899333 ,1.4E-4
 6074.60985 ,                    10.92916024 ,1.3E-4
 6299.59540 ,                    10.92912791 ,1.4E-4
 6524.58095 ,                    10.92914164 ,1.3E-4
 6749.56650 ,                    10.92942564 ,1.3E-4
 6974.55205 ,                    10.92929848 ,1.4E-4
 7199.53760 ,                    10.92913591 ,1.4E-4
 7424.52315 ,                    10.92912766 ,1.3E-4
 7649.50870 ,                    10.92894273 ,1.3E-4
 7874.49425 ,                    10.92916801 ,1.4E-4
 8099.47980 ,                    10.92907019 ,1.3E-4
 8101.16225 ,                    10.92913904 ,1.3E-4
 8101.18776 ,                    10.92895427 ,1.2E-4
 8101.21326 ,                    10.92914200 ,1.3E-4
 8101.23877 ,                    10.92891075 ,1.4E-4
 8101.26428 ,                    10.92915190 ,1.4E-4
 8101.28978 ,                    10.92935258 ,1.4E-4
 8101.31529 ,                    10.92897099 ,1.4E-4
 8101.34080 ,                    10.92923636 ,1.2E-4
 8101.36630 ,                    10.92887884 ,1.3E-4
 8101.39181 ,                    10.92918404 ,1.4E-4
 8101.41732 ,                    10.92925973 ,1.4E-4
 8101.44282 ,                    10.92917007 ,1.3E-4
 8101.46833 ,                    10.92917511 ,1.3E-4
 8101.49384 ,                    10.92916188 ,1.4E-4
 8101.51934 ,                    10.92909076 ,1.4E-4
 8101.54485 ,                    10.92912612 ,1.2E-4
 8101.57036 ,                    10.92913222 ,1.3E-4
 8101.59586 ,                    10.92913900 ,1.3E-4
 8101.62137 ,                    10.92907157 ,1.4E-4
 8101.64688 ,                    10.92925995 ,1.3E-4
 8101.67238 ,                    10.92913913 ,1.4E-4
 8101.69789 ,                    10.92911690 ,1.4E-4
 8101.72340 ,                    10.92921741 ,1.2E-4
 8101.74890 ,                    10.92922342 ,1.3E-4
 8101.77441 ,                    10.92908655 ,1.3E-4
 8101.79992 ,                    10.92898720 ,1.3E-4
 8101.82542 ,                    10.92899704 ,1.3E-4
 8101.85093 ,                    10.92917250 ,1.4E-4
 8101.87644 ,                    10.92929103 ,1.4E-4
 8101.90194 ,                    10.92898792 ,1.4E-4
 8101.92745 ,                    10.92883021 ,1.2E-4
 8101.95296 ,                    10.92889192 ,1.2E-4
 8101.97846 ,                    10.92891998 ,1.3E-4
 8102.00397 ,                    10.92904621 ,1.4E-4
 8102.02948 ,                    10.92879508 ,1.3E-4
 8102.05498 ,                    10.92912149 ,1.3E-4
 8102.08049 ,                    10.92931707 ,1.2E-4
 8102.10600 ,                    10.92925122 ,1.4E-4
 8102.13150 ,                    10.92880122 ,1.2E-4
 8102.15701 ,                    10.92923439 ,1.4E-4
 8102.18252 ,                    10.92900869 ,1.2E-4
 8102.20802 ,                    10.92916852 ,1.2E-4
 8102.23353 ,                    10.92900569 ,1.4E-4
 8102.25904 ,                    10.92907386 ,1.2E-4
 8102.28454 ,                    10.92912612 ,1.4E-4
 8102.31005 ,                    10.92900395 ,1.4E-4
 8102.33556 ,                    10.92922563 ,1.2E-4
 8102.36107 ,                    10.92919601 ,1.2E-4
 8102.38657 ,                    10.92902122 ,1.4E-4
 8102.41208 ,                    10.92891327 ,1.3E-4
 8102.43759 ,                    10.92896110 ,1.4E-4
 8102.46309 ,                    10.92904679 ,1.2E-4
 8102.48860 ,                    10.92913674 ,1.4E-4
 8102.51411 ,                    10.92921886 ,1.4E-4
 8102.53961 ,                    10.92935655 ,1.4E-4
 8102.56512 ,                    10.92924676 ,1.4E-4
 8102.59063 ,                    10.92897222 ,1.4E-4
 8102.61613 ,                    10.92913321 ,1.4E-4
 8102.64164 ,                    10.92909153 ,1.4E-4
 8102.66715 ,                    10.92911987 ,1.4E-4
 8102.69265 ,                    10.92917541 ,1.3E-4
 8102.71816 ,                    10.92916244 ,1.2E-4
 8102.74367 ,                    10.92907431 ,1.3E-4
 8102.76917 ,                    10.92926343 ,1.4E-4
 8102.79468 ,                    10.92895946 ,1.3E-4
 8102.82019 ,                    10.92927915 ,1.2E-4
 8102.84569 ,                    10.92921046 ,1.3E-4
 8102.87120 ,                    10.92917609 ,1.3E-4
 8102.89671 ,                    10.92922160 ,1.3E-4
 8102.92221 ,                    10.92906874 ,1.3E-4
 8102.94772 ,                    10.92895625 ,1.3E-4
 8102.97323 ,                    10.92924517 ,1.3E-4
 8102.99873 ,                    10.92903702 ,1.3E-4
 8103.02424 ,                    10.92886462 ,1.2E-4
 8103.04975 ,                    10.92888637 ,1.2E-4
 8103.07525 ,                    10.92922590 ,1.2E-4
 8103.10076 ,                    10.92910326 ,1.3E-4
 8103.12627 ,                    10.92889430 ,1.2E-4
 8103.15177 ,                    10.92911092 ,1.3E-4
 8103.17728 ,                    10.92900503 ,1.4E-4
 8103.20279 ,                    10.92887401 ,1.2E-4
 8103.22829 ,                    10.92916036 ,1.5E-4
 8103.25380 ,                    10.92928470 ,1.4E-4
 8103.27931 ,                    10.92902587 ,1.2E-4
 8103.30481 ,                    10.92897355 ,1.3E-4
 8103.33032 ,                    10.92908471 ,1.2E-4
 8103.35583 ,                    10.92886312 ,1.2E-4
 8103.38133 ,                    10.92926852 ,1.2E-4
 8103.40684 ,                    10.92905305 ,1.4E-4
 8103.43235 ,                    10.92907635 ,1.3E-4
 8103.45785 ,                    10.92926427 ,1.4E-4
 8103.48336 ,                    10.92904958 ,1.3E-4
 8103.50887 ,                    10.92908047 ,1.3E-4
 8103.53437 ,                    10.92899516 ,1.4E-4
 8103.55988 ,                    10.92918216 ,1.4E-4
 8103.58539 ,                    10.92938841 ,1.2E-4
 8103.61089 ,                    10.92895432 ,1.2E-4
 8103.63640 ,                    10.92907881 ,1.2E-4
 8103.66191 ,                    10.92904296 ,1.2E-4
 8103.68741 ,                    10.92902952 ,1.2E-4
 8103.71292 ,                    10.92908041 ,1.3E-4
 8103.73843 ,                    10.92910727 ,1.4E-4
 8103.76393 ,                    10.92905677 ,1.2E-4
 8103.78944 ,                    10.92948931 ,1.3E-4
 8103.81495 ,                    10.92907744 ,1.4E-4
 8103.84046 ,                    10.92933226 ,1.3E-4
 8103.86596 ,                    10.92901762 ,1.2E-4
 8103.89147 ,                    10.92919826 ,1.4E-4
 8103.91698 ,                    10.92912930 ,1.2E-4
 8103.94248 ,                    10.92923440 ,1.3E-4
 8103.96799 ,                    10.92940316 ,1.4E-4
 8103.99350 ,                    10.92891384 ,1.4E-4
 8104.01900 ,                    10.92911925 ,1.2E-4
 8104.04451 ,                    10.92938663 ,1.3E-4
 8104.07002 ,                    10.92917815 ,1.2E-4
 8104.09552 ,                    10.92901880 ,1.4E-4
 8104.12103 ,                    10.92910209 ,1.2E-4
 8104.14654 ,                    10.92935877 ,1.3E-4
 8104.17204 ,                    10.92935099 ,1.3E-4
 8104.19755 ,                    10.92920682 ,1.2E-4
 8324.46535 ,                    10.92899247 ,1.4E-4
 8549.45090 ,                    10.92926647 ,1.4E-4
 8774.43645 ,                    10.92899158 ,1.4E-4
 8952.75771 ,                    10.92906677 ,1.4E-4
 8952.78321 ,                    10.92917685 ,1.4E-4
 8952.80872 ,                    10.92921787 ,1.3E-4
 8952.83423 ,                    10.92901334 ,1.3E-4
 8952.85973 ,                    10.92931262 ,1.2E-4
 8952.88524 ,                    10.92910192 ,1.3E-4
 8952.91075 ,                    10.92923721 ,1.2E-4
 8952.93625 ,                    10.92912157 ,1.4E-4
 8952.96176 ,                    10.92898295 ,1.2E-4
 8952.98727 ,                    10.92909720 ,1.2E-4
 8953.01277 ,                    10.92915109 ,1.3E-4
 8953.03828 ,                    10.92895573 ,1.2E-4
 8953.06379 ,                    10.92924930 ,1.3E-4
 8953.08929 ,                    10.92895543 ,1.2E-4
 8953.11480 ,                    10.92924236 ,1.2E-4
 8953.14031 ,                    10.92911152 ,1.2E-4
 8953.16581 ,                    10.92912504 ,1.3E-4
 8953.19132 ,                    10.92902418 ,1.3E-4
 8953.21683 ,                    10.92908162 ,1.2E-4
 8953.24233 ,                    10.92908049 ,1.2E-4
 8953.26784 ,                    10.92917240 ,1.3E-4
 8953.29335 ,                    10.92910571 ,1.4E-4
 8953.31885 ,                    10.92909281 ,1.4E-4
 8953.34436 ,                    10.92931427 ,1.2E-4
 8953.36987 ,                    10.92900554 ,1.3E-4
 8953.39537 ,                    10.92916312 ,1.4E-4
 8953.42088 ,                    10.92925391 ,1.2E-4
 8953.44639 ,                    10.92898538 ,1.4E-4
 8953.47189 ,                    10.92915157 ,1.3E-4
 8953.49740 ,                    10.92907631 ,1.3E-4
 8953.52291 ,                    10.92898767 ,1.3E-4
 8953.54841 ,                    10.92916270 ,1.2E-4
 8953.57392 ,                    10.92918459 ,1.4E-4
 8953.59943 ,                    10.92924745 ,1.4E-4
 8953.62493 ,                    10.92911259 ,1.3E-4
 8953.65044 ,                    10.92894518 ,1.3E-4
 8953.67595 ,                    10.92921948 ,1.2E-4
